,0
954.0,Cppapap
955.0,Cppapp
956.0,Cppappa
957.0,Cppappp
958.0,Cppp
959.0,Cpppa
960.0,Cpppaa
961.0,Cpppaaa
962.0,Cpppaap
963.0,Cpppap
964.0,Cpppapa
965.0,Cpppapp
966.0,Cpppp
967.0,Cppppa
968.0,Cppppaa
969.0,Cppppap
970.0,Cppppp
971.0,Cpppppd
972.0,Cpppppv
973.0,D
974.0,Da
975.0,Daa
976.0,Daaa
977.0,Daaaa
978.0,Daaap
979.0,Daap
980.0,Daapa
981.0,Daapp
982.0,Dap
983.0,Dapa
984.0,Dapaa
985.0,Dapap
986.0,Dapp
987.0,Dappa
988.0,Dappaa
989.0,Dappap
990.0,Dappp
991.0,Dp
992.0,Dpa
993.0,Dpaa
994.0,Dpaaa
995.0,Dpaap
996.0,Dpap
997.0,Dpapa
998.0,Dpapp
999.0,Dpp
1000.0,Dppa
1001.0,Dppaa
1002.0,Dppap
1003.0,Dppp
1004.0,Dpppa
1005.0,Dpppaa
1006.0,Dpppap
1007.0,Dpppp
1008.0,E
1009.0,EMS
1010.0,Ea
1011.0,Eal
1012.0,Eala
1013.0,Ealaa
1014.0,Ealaad
1015.0,Ealaav
1016.0,Ealap
1017.0,Ealp
1018.0,Ealpa
1019.0,Ealpp
1020.0,Ear
1021.0,Eara
1022.0,Earaa
1023.0,Earap
1024.0,Earp
1025.0,Earpa
1026.0,Earpp
1027.0,Ep
1028.0,Epl
1029.0,Epla
1030.0,Eplaa
1031.0,Eplap
1032.0,Eplp
1033.0,Eplpa
1034.0,Eplpp
1035.0,Epr
1036.0,Epra
1037.0,Epraa
1038.0,Eprap
1039.0,Eprp
1040.0,Eprpa
1041.0,Eprpp
1042.0,MS
1043.0,MSa
1044.0,MSaa
1045.0,MSaaa
1046.0,MSaaaa
1047.0,MSaaaaa
1048.0,MSaaaaaa
1049.0,MSaaaaaal
1050.0,MSaaaaaar
1051.0,MSaaaaap
1052.0,MSaaaaapa
1053.0,MSaaaaapp
1054.0,MSaaaap
1055.0,MSaaaapa
1056.0,MSaaaapaa
1057.0,MSaaaapap
1058.0,MSaaaapp
1059.0,MSaaaappa
1060.0,MSaaaappp
1061.0,MSaaap
1062.0,MSaaapa
1063.0,MSaaapaa
1064.0,MSaaapaaa
1065.0,MSaaapaap
1066.0,MSaaapap
1067.0,MSaaapapa
1068.0,MSaaapapp
1069.0,MSaaapp
1070.0,MSaaappa
1071.0,MSaaappp
1072.0,MSaap
1073.0,MSaapa
1074.0,MSaapaa
1075.0,MSaapaaa
1076.0,MSaapaaaa
1077.0,MSaapaaap
1078.0,MSaapaap
1079.0,MSaapaapa
1080.0,MSaapaapp
1081.0,MSaapap
1082.0,MSaapapa
1083.0,MSaapapaa
1084.0,MSaapapap
1085.0,MSaapapp
1086.0,MSaapappa
1087.0,MSaapappp
1088.0,MSaapp
1089.0,MSaappa
1090.0,MSaappaa
1091.0,MSaappap
1092.0,MSaappp
1093.0,MSaapppa
1094.0,MSaapppp
1095.0,MSap
1096.0,MSapa
1097.0,MSapaa
1098.0,MSapaaa
1099.0,MSapaaaa
1100.0,MSapaaap
1101.0,MSapaap
1102.0,MSapaapa
1103.0,MSapaapp
1104.0,MSapap
1105.0,MSapapa
1106.0,MSapapaa
1107.0,MSapapap
1108.0,MSapapp
1109.0,MSapappa
1110.0,MSapappp
1111.0,MSapp
1112.0,MSappa
1113.0,MSappaa
1114.0,MSappaaa
1115.0,MSappaap
1116.0,MSappap
