,0
Cappappp,Cappapp
Cppaaaaa,Cppaaaa
Cppaaaap,Cppaaaa
Cppapaaa,Cppapaa
Cppapaap,Cppapaa
Cpppaapa,Cpppaap
Cpppaapp,Cpppaap
Cppppaaa,Cppppaa
Cppppaap,Cppppaa
Cppppapa,Cppppap
Cppppapp,Cppppap
Dappppaa,Dappppa
Dappppap,Dappppa
Eplpaapa,Eplpaap
Eplpaapp,Eplpaap
Cpappdaa,Cpappda
Cpappdap,Cpappda
Dapppppa,Dappppp
Dapppppp,Dappppp
Dpapaapa,Dpapaap
Dpapaapp,Dpapaap
Caaaappa,Caaaapp
Caaaappp,Caaaapp
Caappvpa,Caappvp
Caappvpp,Caappvp
Cappaaaa,Cappaaa
Cappaaap,Cappaaa
Capppapa,Capppap
Capppapp,Capppap
Cpaapaaa,Cpaapaa
Cpaapaap,Cpaapaa
Ealppppa,Ealpppp
Ealppppp,Ealpppp
MSpaappa,MSpaapp
MSpaappp,MSpaapp
Caaappaa,Caaappa
Caaappap,Caaappa
Caapapaa,Caapapa
Caapapap,Caapapa
Capappaa,Capappa
Capappap,Capappa
Cppappaa,Cppappa
Cppappap,Cppappa
Earpaaaa,Earpaaa
Earpaaap,Earpaaa
Caaaaaaa,Caaaaaa
Caaaaaap,Caaaaaa
Cpaapppa,Cpaappp
Cpaapppp,Cpaappp
Cpppaaaa,Cpppaaa
Cpppaaap,Cpppaaa
Dappappa,Dappapp
Dappappp,Dappapp
Dppapapa,Dppapap
Dppapapp,Dppapap
Earappaa,Earappa
Earappap,Earappa
Daapaapa,Daapaap
Daapaapp,Daapaap
Dappaaaa,Dappaaa
Dappaaap,Dappaaa
Dppapppa,Dppappp
Dppapppp,Dppappp
Caaaaapa,Caaaaap
Caaaaapp,Caaaaap
Caaaapaa,Caaaapa
Caaaapap,Caaaapa
Caapaaaa,Caapaaa
Caapaaap,Caapaaa
Caapappa,Caapapp
Caapappp,Caapapp
Capaappa,Capaapp
Capaappp,Capaapp
Capapppa,Capappp
Capapppp,Capappp
Cpapaaaa,Cpapaaa
Cpapaaap,Cpapaaa
Cpappdpa,Cpappdp
Cpappdpp,Cpappdp
Dapapaaa,Dapapaa
Dapapaap,Dapapaa
Dpaaaapa,Dpaaaap
Dpaaaapp,Dpaaaap
Dpaapaaa,Dpaapaa
Dpaapaap,Dpaapaa
Dpaapapa,Dpaapap
Dpaapapp,Dpaapap
Dppaaaaa,Dppaaaa
Dppaaaap,Dppaaaa
Caappvaa,Caappva
Caappvap,Caappva
Daappppa,Daapppp
Daappppp,Daapppp
Eplaappa,Eplaapp
Eplaappp,Eplaapp
Dpaapppa,Dpaappp
Dpaapppp,Dpaappp
Dppppaaa,Dppppaa
Dppppaap,Dppppaa
Dppppapa,Dppppap
Dppppapp,Dppppap
Earpaapa,Earpaap
Earpaapp,Earpaap
Eplppaaa,Eplppaa
Eplppaap,Eplppaa
Daaaapaa,Daaaapa
Daaaapap,Daaaapa
Ealpaaaa,Ealpaaa
Ealpaaap,Ealpaaa
Dppaappa,Dppaapp
Dppaappp,Dppaapp
Ealpapaa,Ealpapa
Ealpapap,Ealpapa
Dpppapaa,Dpppapa
Dpppapap,Dpppapa
Caapaapa,Caapaap
Caapaapp,Caapaap
Caaapaaa,Caaapaa
Caaapaap,Caaapaa
Daaappaa,Daaappa
Daaappap,Daaappa
Dpppappa,Dpppapp
Dpppappp,Dpppapp
Dappaapa,Dappaap
Dappaapp,Dappaap
Cppaaapa,Cppaaap
Cppaaapp,Cppaaap
Daaaaapa,Daaaaap
Daaaaapp,Daaaaap
Dapapapa,Dapapap
Dapapapp,Dapapap
Dapappaa,Dapappa
Dapappap,Dapappa
Dapapppa,Dapappp
Dapapppp,Dapappp
Eplppppa,Eplpppp
Eplppppp,Eplpppp
Eplaapaa,Eplaapa
Eplaapap,Eplaapa
Eplpaaaa,Eplpaaa
Eplpaaap,Eplpaaa
Eprpappa,Eprpapp
Eprpappp,Eprpapp
ABalaaaal,ABalaaaa
