,0
ABarp,376.0
ABarpa,377.0
ABarpaa,378.0
ABarpaaa,379.0
ABarpaaaa,380.0
ABarpaaaaa,381.0
ABarpaaaaal,382.0
ABarpaaaaar,383.0
ABarpaaaap,384.0
ABarpaaaapa,385.0
ABarpaaaapp,386.0
ABarpaaap,387.0
ABarpaaapa,388.0
ABarpaaapaa,389.0
ABarpaaapap,390.0
ABarpaaapp,391.0
ABarpaap,392.0
ABarpaapa,393.0
ABarpaapaa,394.0
ABarpaapap,395.0
ABarpaapp,396.0
ABarpaappa,397.0
ABarpaappp,398.0
ABarpap,399.0
ABarpapa,400.0
ABarpapaa,401.0
ABarpapaaa,402.0
ABarpapaaaa,403.0
ABarpapaaap,404.0
ABarpapaap,405.0
ABarpapaapa,406.0
ABarpapaapp,407.0
ABarpapap,408.0
ABarpapapa,409.0
ABarpapapp,410.0
ABarpapp,411.0
ABarpappa,412.0
ABarpappaa,413.0
ABarpappap,414.0
ABarpappp,415.0
ABarpapppa,416.0
ABarpapppp,417.0
ABarpp,418.0
ABarppa,419.0
ABarppaa,420.0
ABarppaaa,421.0
ABarppaaaa,422.0
ABarppaaap,423.0
ABarppaap,424.0
ABarppaapa,425.0
ABarppaapp,426.0
ABarppap,427.0
ABarppapa,428.0
ABarppapaa,429.0
ABarppapap,430.0
ABarppapp,431.0
ABarppappa,432.0
ABarppappp,433.0
ABarppp,434.0
ABarpppa,435.0
ABarpppaa,436.0
ABarpppaaa,437.0
ABarpppaap,438.0
ABarpppap,439.0
ABarpppapa,440.0
ABarpppapp,441.0
ABarpppp,442.0
ABarppppa,443.0
ABarppppaa,444.0
ABarppppap,445.0
ABarppppp,446.0
ABarpppppa,447.0
ABarpppppp,448.0
ABp,449.0
ABpl,450.0
ABpla,451.0
ABplaa,452.0
ABplaaa,453.0
ABplaaaa,454.0
ABplaaaaa,455.0
ABplaaaaaa,456.0
ABplaaaaaaa,457.0
ABplaaaaaap,458.0
ABplaaaaap,459.0
ABplaaaaapa,460.0
ABplaaaaapp,461.0
ABplaaaap,462.0
ABplaaaapa,463.0
ABplaaaapp,464.0
ABplaaap,465.0
ABplaaapa,466.0
ABplaaapaa,467.0
ABplaaapap,468.0
ABplaaapp,469.0
ABplaaappa,470.0
ABplaaappp,471.0
ABplaap,472.0
ABplaapa,473.0
ABplaapaa,474.0
ABplaapaaa,475.0
ABplaapaaaa,476.0
ABplaapaaap,477.0
ABplaapaap,478.0
ABplaapaapa,479.0
ABplaapaapp,480.0
ABplaapap,481.0
ABplaapapa,482.0
ABplaapapaa,483.0
ABplaapapap,484.0
ABplaapapp,485.0
ABplaapappa,486.0
ABplaapappp,487.0
ABplaapp,488.0
ABplaappa,489.0
ABplaappaa,490.0
ABplaappap,491.0
ABplaappp,492.0
ABplaapppa,493.0
ABplaapppp,494.0
ABplap,495.0
ABplapa,496.0
ABplapaa,497.0
ABplapaaa,498.0
ABplapaaaa,499.0
ABplapaaaaa,500.0
ABplapaaaap,501.0
ABplapaaap,502.0
ABplapaaapa,503.0
ABplapaaapp,504.0
ABplapaap,505.0
ABplapaapa,506.0
ABplapaapp,507.0
ABplapap,508.0
ABplapapa,509.0
ABplapapaa,510.0
ABplapapap,511.0
ABplapapp,512.0
ABplapappa,513.0
ABplapappp,514.0
ABplapapppa,515.0
ABplapapppp,516.0
ABplapp,517.0
ABplappa,518.0
ABplappaa,519.0
ABplappaaa,520.0
ABplappaap,521.0
ABplappap,522.0
ABplappapa,523.0
ABplappapp,524.0
ABplappp,525.0
ABplapppa,526.0
ABplapppaa,527.0
ABplapppaaa,528.0
ABplapppaap,529.0
ABplapppap,530.0
ABplapppapa,531.0
ABplapppapp,532.0
ABplapppp,533.0
ABplappppa,534.0
ABplappppp,535.0
ABplp,536.0
ABplpa,537.0
ABplpaa,538.0
ABplpaaa,539.0
ABplpaaaa,540.0
ABplpaaaaa,541.0
ABplpaaaaaa,542.0
ABplpaaaaap,543.0
ABplpaaaap,544.0
ABplpaaaapa,545.0
ABplpaaaapp,546.0
ABplpaaap,547.0
ABplpaaapa,548.0
ABplpaaapaa,549.0
ABplpaaapap,550.0
ABplpaaapp,551.0
ABplpaaappa,552.0
ABplpaaappp,553.0
ABplpaap,554.0
ABplpaapa,555.0
ABplpaapaa,556.0
ABplpaapaaa,557.0
ABplpaapaap,558.0
ABplpaapap,559.0
ABplpaapapa,560.0
ABplpaapapp,561.0
ABplpaapp,562.0
ABplpaappa,563.0
ABplpaappaa,564.0
ABplpaappap,565.0
ABplpaappp,566.0
ABplpaapppa,567.0
ABplpaapppp,568.0
ABplpap,569.0
ABplpapa,570.0
ABplpapaa,571.0
ABplpapaaa,572.0
ABplpapaaaa,573.0
ABplpapaaap,574.0
ABplpapaap,575.0
ABplpapaapa,576.0
ABplpapaapp,577.0
ABplpapap,578.0
ABplpapapa,579.0
ABplpapapaa,580.0
ABplpapapap,581.0
ABplpapapp,582.0
ABplpapappa,583.0
ABplpapappp,584.0
ABplpapp,585.0
ABplpappa,586.0
